month,news_tone
2020-07-01,-2.0808290322580647
2020-08-01,-2.0147967741935484
2020-09-01,-1.9780266666666668
2020-10-01,-1.9371666666666667
2020-11-01,-1.98526
2020-12-01,-1.6089935483870967
2021-01-01,-1.5944774193548388
2021-02-01,-1.5467357142857143
2021-03-01,-1.4903806451612902
2021-04-01,-1.64699
2021-05-01,-1.5413709677419354
2021-06-01,-1.6598566666666665
2021-07-01,-1.5491387096774194
2021-08-01,-1.312490322580645
2021-09-01,-1.5531833333333334
2021-10-01,-1.5954645161290324
2021-11-01,-1.3326066666666667
2021-12-01,-1.4397870967741937
2022-01-01,-1.4257903225806452
2022-02-01,-1.3379999999999999
2022-03-01,-1.5718870967741934
2022-04-01,-1.2935233333333334
2022-05-01,-1.5493709677419356
2022-06-01,-1.8663866666666666
2022-07-01,-1.7214806451612903
2022-08-01,-1.5822548387096775
2022-09-01,-1.6122966666666665
2022-10-01,-1.7119193548387097
2022-11-01,-2.0555933333333334
2022-12-01,-1.736035483870968
2023-01-01,-1.8902419354838709
2023-02-01,-1.6173857142857142
2023-03-01,-1.68135
2023-04-01,-1.4479766666666667
2023-05-01,-1.5792903225806452
2023-06-01,-1.30168
2023-07-01,-1.514090322580645
2023-08-01,-1.2374516129032258
2023-09-01,-1.5198633333333333
2023-10-01,-1.5320387096774195
2023-11-01,-1.3365233333333333
2023-12-01,-1.5281870967741937
2024-01-01,-1.5455225806451613
2024-02-01,-1.3743793103448276
2024-03-01,-1.4559483870967742
2024-04-01,-1.5601333333333334
2024-05-01,-1.4678193548387097
2024-06-01,-1.43446
2024-07-01,-1.3305709677419355
2024-08-01,-1.5309612903225807
2024-09-01,-1.8128966666666666
2024-10-01,-1.7057870967741935
2024-11-01,-1.6602166666666667
2024-12-01,-1.6539193548387099
2025-01-01,-1.5363709677419355
2025-02-01,-2.242396428571429
2025-03-01,-2.232925806451613
2025-04-01,-2.0962
2025-05-01,-1.8021870967741935
2025-06-01,-1.7347357142857143
