month,news_volume,news_tone
2020-07-01,64201,-2.0808290322580647
2020-08-01,47418,-2.0147967741935484
2020-09-01,41715,-1.9780266666666668
2020-10-01,27663,-1.9371666666666667
2020-11-01,19858,-1.98526
2020-12-01,28134,-1.6089935483870967
2021-01-01,25409,-1.5944774193548388
2021-02-01,24282,-1.5467357142857143
2021-03-01,22878,-1.4903806451612902
2021-04-01,18249,-1.64699
2021-05-01,18703,-1.5413709677419354
2021-06-01,16866,-1.6598566666666665
2021-07-01,15321,-1.5491387096774194
2021-08-01,9817,-1.312490322580645
2021-09-01,12369,-1.5531833333333334
2021-10-01,12244,-1.5954645161290324
2021-11-01,11509,-1.3326066666666667
2021-12-01,12961,-1.4397870967741937
2022-01-01,11025,-1.4257903225806452
2022-02-01,10253,-1.3379999999999999
2022-03-01,12349,-1.5718870967741934
2022-04-01,11547,-1.2935233333333334
2022-05-01,13261,-1.5493709677419356
2022-06-01,19846,-1.8663866666666666
2022-07-01,16759,-1.7214806451612903
2022-08-01,15098,-1.5822548387096775
2022-09-01,13822,-1.6122966666666665
2022-10-01,15582,-1.7119193548387097
2022-11-01,35406,-2.0555933333333334
2022-12-01,18951,-1.736035483870968
2023-01-01,36126,-1.8902419354838709
2023-02-01,31446,-1.6173857142857142
2023-03-01,26978,-1.68135
2023-04-01,14491,-1.4479766666666667
2023-05-01,13961,-1.5792903225806452
2023-06-01,12100,-1.30168
2023-07-01,10572,-1.514090322580645
2023-08-01,9351,-1.2374516129032258
2023-09-01,9461,-1.5198633333333333
2023-10-01,8544,-1.5320387096774195
2023-11-01,9318,-1.3365233333333333
2023-12-01,10849,-1.5281870967741937
2024-01-01,12365,-1.5455225806451613
2024-02-01,12477,-1.3743793103448276
2024-03-01,11919,-1.4559483870967742
2024-04-01,14346,-1.5601333333333334
2024-05-01,11448,-1.4678193548387097
2024-06-01,10385,-1.43446
2024-07-01,10123,-1.3305709677419355
2024-08-01,11606,-1.5309612903225807
2024-09-01,14120,-1.8128966666666666
2024-10-01,12440,-1.7057870967741935
2024-11-01,12824,-1.6602166666666667
2024-12-01,13507,-1.6539193548387099
2025-01-01,12886,-1.5363709677419355
2025-02-01,26180,-2.242396428571429
2025-03-01,27934,-2.232925806451613
2025-04-01,25313,-2.0962
2025-05-01,19510,-1.8021870967741935
2025-06-01,9367,-1.7347357142857143
